iter	Passed	Remaining
0	2	2400
1	5	2534
2	6	2221
3	8	2116
4	9	1972
5	11	1913
6	14	2069
7	16	2024
8	17	1961
9	22	2178
10	23	2148
11	25	2099
12	26	2044
13	30	2149
14	32	2117
15	33	2060
16	34	2012
17	36	1975
18	37	1944
19	38	1906
20	40	1873
21	41	1843
22	44	1892
23	46	1877
24	47	1853
25	48	1828
26	50	1804
27	51	1782
28	52	1761
29	53	1741
30	55	1725
31	56	1708
32	59	1753
33	61	1742
34	62	1728
35	64	1717
36	65	1706
37	66	1693
38	68	1678
39	69	1665
40	70	1652
41	72	1644
42	75	1690
43	77	1677
44	78	1666
45	79	1654
46	81	1642
47	82	1635
48	83	1625
49	84	1614
50	86	1606
51	87	1596
52	89	1600
53	91	1596
54	92	1587
55	93	1578
56	94	1568
57	96	1559
58	97	1551
59	98	1547
60	100	1540
61	101	1534
62	103	1541
63	105	1538
64	106	1530
65	107	1526
66	109	1520
67	110	1518
68	112	1513
69	113	1506
70	114	1499
71	116	1496
72	118	1502
73	119	1497
74	121	1492
75	122	1486
76	123	1480
77	125	1478
78	126	1472
79	127	1466
80	128	1460
81	129	1455
82	130	1443
83	133	1453
84	134	1449
85	135	1444
86	137	1440
87	138	1437
88	140	1434
89	141	1429
90	142	1424
91	143	1420
92	145	1414
93	147	1423
94	149	1420
95	150	1415
96	151	1412
97	153	1408
98	154	1405
99	155	1402
100	157	1398
101	158	1395
102	160	1393
103	162	1400
104	163	1397
105	165	1393
106	166	1392
107	168	1389
108	169	1388
109	171	1384
110	172	1380
111	173	1376
112	174	1372
113	176	1375
114	178	1374
115	179	1371
116	181	1373
117	183	1371
118	184	1368
119	186	1370
120	189	1377
121	193	1390
122	196	1399
123	198	1400
124	201	1408
125	205	1427
126	209	1442
127	213	1451
128	215	1456
129	218	1459
130	220	1462
131	224	1477
132	226	1478
133	228	1479
134	231	1480
135	232	1478
136	234	1475
137	235	1472
138	239	1481
139	241	1480
140	243	1485
141	245	1481
142	247	1486
143	250	1491
144	255	1505
145	257	1507
146	266	1548
147	273	1572
